MatchId,MatchResult,SeasonId,Team1,Team1Score,Team1_all_outs_conceded,Team2,Team2Score,Team2_all_outs_conceded,home_team_name
Match 54,Bengaluru Bulls beat Telugu Titans (27 - 26), Season 1,Bengaluru Bulls,26.0,2.0,Telugu Titans,25.0,2.0,Bengaluru Bulls
Match 55,U Mumba beat Puneri Paltan (36 - 35), Season 1,U Mumba,36.0,2.0,Puneri Paltan,35.0,2.0,
Match 56,Bengaluru Bulls beat Jaipur Pink Panthers (30 - 29), Season 1,Bengaluru Bulls,30.0,2.0,Jaipur Pink Panthers,29.0,2.0,Bengaluru Bulls
Semi-Final 1,Jaipur Pink Panthers beat Patna Pirates (38 - 18), Season 1,Jaipur Pink Panthers,36.0,0.0,Patna Pirates,17.0,6.0,
Semi-Final 2,U Mumba beat Bengaluru Bulls (27 - 23), Season 1,Bengaluru Bulls,22.0,2.0,U Mumba,26.0,2.0,
3rd Place Playoff,Patna Pirates beat Bengaluru Bulls (29 - 22), Season 1,Bengaluru Bulls,22.0,2.0,Patna Pirates,29.0,0.0,
Final,Jaipur Pink Panthers beat U Mumba (35 - 24), Season 1,Jaipur Pink Panthers,34.0,0.0,U Mumba,22.0,4.0,
Match 1,U Mumba beat Jaipur Pink Panthers (29-28), Season 2,U Mumba,29.0,1.0,Jaipur Pink Panthers,28.0,0.0,
Match 2,Bengaluru Bulls beat Bengal Warriors (33-25), Season 2,Bengaluru Bulls,33.0,1.0,Bengal Warriors,25.0,2.0,
Match 3,Telugu Titans beat Dabang Delhi (36-27), Season 2,Telugu Titans,36.0,0.0,Dabang Delhi,27.0,1.0,
Match 4,U Mumba beat Bengaluru Bulls (36-23), Season 2,U Mumba,36.0,0.0,Bengaluru Bulls,23.0,1.0,
Match 5,Telugu Titans beat Puneri Paltan (45-24), Season 2,Puneri Paltan,24.0,2.0,Telugu Titans,45.0,0.0,
Match 6,U Mumba beat Patna Pirates (25-20), Season 2,U Mumba,25.0,0.0,Patna Pirates,20.0,0.0,
Match 7,U Mumba beat Puneri Paltan (28-21), Season 2,U Mumba,28.0,0.0,Puneri Paltan,21.0,0.0,
Match 8,Bengal Warriors beat Jaipur Pink Panthers (28-26), Season 2,Bengal Warriors,28.0,0.0,Jaipur Pink Panthers,26.0,0.0,
Match 9,Bengaluru Bulls beat Patna Pirates (31-26), Season 2,Bengaluru Bulls,31.0,0.0,Patna Pirates,26.0,1.0,
Match 10,Telugu Titans beat Bengal Warriors (32-30), Season 2,Bengal Warriors,30.0,0.0,Telugu Titans,32.0,0.0,
Match 11,Dabang Delhi beat Puneri Paltan (38-37), Season 2,Dabang Delhi,38.0,1.0,Puneri Paltan,37.0,1.0,
Match 12,U Mumba beat Bengal Warriors (29-25), Season 2,Bengal Warriors,25.0,1.0,U Mumba,29.0,0.0,
Match 13,Bengaluru Bulls beat Puneri Paltan (31-26), Season 2,Bengaluru Bulls,31.0,1.0,Puneri Paltan,26.0,0.0,
Match 14,Dabang Delhi beat Bengal Warriors (32-21), Season 2,Bengal Warriors,21.0,0.0,Dabang Delhi,32.0,0.0,
Match 15,Patna Pirates beat Jaipur Pink Panthers (29-23), Season 2,Jaipur Pink Panthers,23.0,0.0,Patna Pirates,29.0,0.0,
Match 16,U Mumba beat Telugu Titans (27-26), Season 2,Telugu Titans,26.0,0.0,U Mumba,27.0,0.0,
Match 17,Bengaluru Bulls beat Dabang Delhi (33-18), Season 2,Dabang Delhi,18.0,2.0,Bengaluru Bulls,33.0,0.0,
Match 18,Telugu Titans beat Jaipur Pink Panthers (33-22), Season 2,Jaipur Pink Panthers,22.0,1.0,Telugu Titans,33.0,0.0,
Match 19,Jaipur Pink Panthers beat Bengaluru Bulls (36-23), Season 2,Jaipur Pink Panthers,36.0,0.0,Bengaluru Bulls,23.0,1.0,
Match 20,Puneri Paltan beat Bengal Warriors (33-29), Season 2,Puneri Paltan,33.0,1.0,Bengal Warriors,29.0,2.0,
Match 21,Dabang Delhi beat Jaipur Pink Panthers (35-27), Season 2,Jaipur Pink Panthers,27.0,0.0,Dabang Delhi,35.0,0.0,
Match 22,Telugu Titans beat Patna Pirates (34-22), Season 2,Patna Pirates,22.0,1.0,Telugu Titans,34.0,0.0,
Match 23,Bengaluru Bulls beat Telugu Titans (35-21), Season 2,Telugu Titans,21.0,1.0,Bengaluru Bulls,35.0,0.0,
